name	category	quantity	unit	location_path	acquired_date	expiry_date	notes
Laundry Detergent	Cleaning	2	liter	Laundry Room > Shelf > Upper	2024-11-01	2026-11-01	Tide
Fabric Softener	Cleaning	1.5	liter	Laundry Room > Shelf > Upper	2024-11-05	2026-11-05	Downy
Phillips Screwdriver	Tools	1	piece	Garage > Toolbox > Drawer 1	2020-05-10		Standard size
Flathead Screwdriver	Tools	1	piece	Garage > Toolbox > Drawer 1	2020-05-10		Standard size
Hammer	Tools	1	piece	Garage > Toolbox > Main Section	2019-03-15		16 oz claw
Measuring Tape	Tools	1	piece	Garage > Toolbox > Drawer 2	2021-02-20		25 ft
Duct Tape	Tools	1	roll	Garage > Shelf > Middle	2024-08-12		Silver
AA Batteries	Electronics	8	count	Living Room > Drawer > Electronics	2024-10-30	2029-10-30	Duracell
AAA Batteries	Electronics	8	count	Living Room > Drawer > Electronics	2024-10-30	2029-10-30	Duracell
Extension Cord	Electronics	1	piece	Garage > Shelf > Upper	2022-01-05		15 ft, 3-prong
Light Bulbs	Electronics	4	count	Garage > Shelf > Upper	2024-09-15		LED, 60W equivalent
Flashlight	Electronics	1	piece	Living Room > Drawer > Electronics	2023-07-10		LED, rechargeable
First Aid Kit	Medical	1	kit	Bathroom > Cabinet > Upper Shelf	2023-06-15	2025-06-15	Includes bandages
Pain Reliever	Medical	100	tablets	Bathroom > Cabinet > Medicine Box	2024-09-20	2026-09-20	Ibuprofen
Band-Aids	Medical	50	count	Bathroom > Cabinet > Medicine Box	2024-11-10	2027-11-10	Assorted sizes
Notebooks	Office	5	count	Home Office > Desk > Drawer 1	2024-09-01		College ruled
Pens	Office	12	count	Home Office > Desk > Organizer	2024-08-15		Black ink
Printer Paper	Office	1	ream	Home Office > Cabinet > Lower Shelf	2024-07-20		500 sheets, letter
Stapler	Office	1	piece	Home Office > Desk > Organizer	2021-05-10		Standard
Paper Clips	Office	100	count	Home Office > Desk > Drawer 2	2023-03-12		Standard size
